year;type;order;country;artist;title;language;position;score;maxpoints;voters
2016;finals;12;Poland;Micha? Szpak;"""Color of Your Life""";English;8;229;24;42
2016;finals;13;Australia;Dami Im;"""Sound of Silence""";English;2;511;24;42
2016;finals;14;Cyprus;Minus One;"""Alter Ego""";English;21;96;24;42
2016;finals;15;Serbia;Sanja Vu?i? ZAA;"""Goodbye (Shelter)""";English;18;115;24;42
2016;finals;16;Lithuania;Donny Montell;"""I've Been Waiting for This Night""";English;9;200;24;42
2016;finals;17;Croatia;Nina Kralji?;"""Lighthouse""";English;23;73;24;42
2016;finals;18;Russia;Sergey Lazarev;"""You Are the Only One""";English;3;491;24;42
2016;finals;19;Spain;Barei;"""Say Yay!""";English;22;77;24;42
2016;finals;20;Latvia;Justs;"""Heartbeat""";English;15;132;24;42
2016;finals;21;Ukraine;Jamala;"""1944""";English, Crimean Tatar;1;534;24;42
2016;finals;22;Malta;Ira Losco;"""Walk on Water""";English;12;153;24;42
2016;finals;23;Georgia;Nika Kocharov & Young Georgian Lolitaz;"""Midnight Gold""";English;20;104;24;42
2016;finals;24;Austria;Zoë;"""Loin d'ici""";French;13;151;24;42
2016;finals;25;United Kingdom;Joe and Jake;"""You're Not Alone""";English;24;62;24;42
2016;finals;26;Armenia;Iveta Mukuchyan;"""LoveWave""";English;7;249;24;42
2016;semifinals 2;1;Latvia;Justs;"""Heartbeat""";English;8;132;24;21
2016;semifinals 2;2;Poland;Micha? Szpak;"""Color of Your Life""";English;6;151;24;21
2016;semifinals 2;3;Switzerland;Rykka;"""The Last of Our Kind""";English;18;28;24;21
2016;semifinals 2;4;Israel;Hovi Star;"""Made of Stars""";English;7;147;24;21
2016;semifinals 2;5;Belarus;Ivan;"""Help You Fly""";English;12;84;24;21
2016;semifinals 2;6;Serbia;Sanja Vu?i? ZAA;"""Goodbye (Shelter)""";English;10;105;24;21
2016;semifinals 2;7;Ireland;Nicky Byrne;"""Sunlight""";English;15;46;24;21
2016;semifinals 2;8;Macedonia;Kaliopi;"""Dona"" (????)";Macedonian;11;88;24;21
2016;semifinals 2;9;Lithuania;Donny Montell;"""I've Been Waiting for This Night""";English;4;222;24;21
2016;semifinals 2;10;Australia;Dami Im;"""Sound of Silence""";English;1;330;24;21
2016;semifinals 2;11;Slovenia;ManuElla;"""Blue and Red""";English;14;57;24;21
